company,description,category,review_id,stars,title,review
"flannels.com","Flannels is the UK's largest independent luxury retail group, specialising in contemporary men's and women's designer clothing, footwear and accessories.

Customer Service Opening Hours

Monday to Friday 08:00 - 20:00
Saturday & Sunday 08:00 - 18:00
(All Times are GMT)
Contact us via Customer Care
","Shopping & Fashion",4975,5,"Outstanding ","All good , present for Christmas didn’t think it was gonna make it  , due to me leaving it so late & Wow Ordered on the Sunday and here late Monday afternoon Brilliant .      The Earrings my daughter loves them couldn’t ask for much more thankyou ! "
"flannels.com","Flannels is the UK's largest independent luxury retail group, specialising in contemporary men's and women's designer clothing, footwear and accessories.

Customer Service Opening Hours

Monday to Friday 08:00 - 20:00
Saturday & Sunday 08:00 - 18:00
(All Times are GMT)
Contact us via Customer Care
","Shopping & Fashion",4976,5,"I booked next day delivery on 23rd…","I booked next day delivery on 23rd December expecting there to be no chance of delivery but the item arrived early on 24th December. Really well packaged and very happy with the product "
"flannels.com","Flannels is the UK's largest independent luxury retail group, specialising in contemporary men's and women's designer clothing, footwear and accessories.

Customer Service Opening Hours

Monday to Friday 08:00 - 20:00
Saturday & Sunday 08:00 - 18:00
(All Times are GMT)
Contact us via Customer Care
","Shopping & Fashion",4977,5,"I have made 2 visits with things…","I have made 2 visits with things brought online and in store. I was attended by the same young lady each time. She was lovely. Explained the options and sorted out everything effortlessly. Very happy customer "
"flannels.com","Flannels is the UK's largest independent luxury retail group, specialising in contemporary men's and women's designer clothing, footwear and accessories.

Customer Service Opening Hours

Monday to Friday 08:00 - 20:00
Saturday & Sunday 08:00 - 18:00
(All Times are GMT)
Contact us via Customer Care
","Shopping & Fashion",4978,5,"It was my first time ordering through…","It was my first time ordering through flannels and it was a great experience. They had excellent deals on during Boxing Day and their customer service (spoke to Vanya) was truly excellent and resolved my issue straight away. Will deffo come back to shop at flannels. "
"flannels.com","Flannels is the UK's largest independent luxury retail group, specialising in contemporary men's and women's designer clothing, footwear and accessories.

Customer Service Opening Hours

Monday to Friday 08:00 - 20:00
Saturday & Sunday 08:00 - 18:00
(All Times are GMT)
Contact us via Customer Care
","Shopping & Fashion",4979,5,"The lady I spoke to at customer service…","The lady I spoke to at customer service was amazing, so friendly and helpful, she understood my urgency to get my product before Christmas. She went above and beyond for me."
"flannels.com","Flannels is the UK's largest independent luxury retail group, specialising in contemporary men's and women's designer clothing, footwear and accessories.

Customer Service Opening Hours

Monday to Friday 08:00 - 20:00
Saturday & Sunday 08:00 - 18:00
(All Times are GMT)
Contact us via Customer Care
","Shopping & Fashion",4980,5,"Exceptional ","Few times I used Flannels and I must say I’ve been impressed each time by the quality of their products and most importantly by the speed of their deliveries. The only thing I regret is that they don’t have credit facilities such as Clearpay or Klarna. "
"flannels.com","Flannels is the UK's largest independent luxury retail group, specialising in contemporary men's and women's designer clothing, footwear and accessories.

Customer Service Opening Hours

Monday to Friday 08:00 - 20:00
Saturday & Sunday 08:00 - 18:00
(All Times are GMT)
Contact us via Customer Care
","Shopping & Fashion",4981,5,"Fast delivery","Fast delivery, arrived next day on 16th Dec. I made a second order on the 17th and this was with me 4 days later but very speedy response, great customer service just before Christmas!Would always recommend flannels for those gift giving moments- especially last minute gifts!!"
"flannels.com","Flannels is the UK's largest independent luxury retail group, specialising in contemporary men's and women's designer clothing, footwear and accessories.

Customer Service Opening Hours

Monday to Friday 08:00 - 20:00
Saturday & Sunday 08:00 - 18:00
(All Times are GMT)
Contact us via Customer Care
","Shopping & Fashion",4982,5,"Fab customer service team ","I ordered a product and it unfortunately arrived with a small fault. I phoned up customer services and Stephen was incredibly helpful, processing an exchange for me within a matter of minutes. I'm incredibly impressive with the level of customer service he has provided and has restored my faith in shopping at Flannels after receiving a faulty item."
"flannels.com","Flannels is the UK's largest independent luxury retail group, specialising in contemporary men's and women's designer clothing, footwear and accessories.

Customer Service Opening Hours

Monday to Friday 08:00 - 20:00
Saturday & Sunday 08:00 - 18:00
(All Times are GMT)
Contact us via Customer Care
","Shopping & Fashion",4983,5,"Delivered as promised at Christmas ","Despite ordering on 23 December, the item arrived next day as promised. Can’t fault the service, so often companies promise delivery dates they have no intention of meeting so it was refreshing to receive it on time. Delivery was expensive but worth it for the convenience and relative to the price of the item. "
"flannels.com","Flannels is the UK's largest independent luxury retail group, specialising in contemporary men's and women's designer clothing, footwear and accessories.

Customer Service Opening Hours

Monday to Friday 08:00 - 20:00
Saturday & Sunday 08:00 - 18:00
(All Times are GMT)
Contact us via Customer Care
","Shopping & Fashion",4984,5,"After choosing ‘collect from store’ it…","After choosing ‘collect from store’ it became apparent my gift wouldn’t be available until after Christmas so I called the customer services and a delightful lady (Caroline) was so very helpful & provided a great resolution to the situation & I received my goods via the post. Best customer service support I’ve received for a very long time do thank you. Kind regards "
